,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1816,2009-5014,Shanghai Masters,Hard,56,M,20091011,55,103786,6.0,,Nikolay Davydenko,R,178.0,RUS,28.3,104745,1.0,,Rafael Nadal,L,185.0,ESP,23.3,7-6(3) 6-3,3,F,123.0,4.0,1.0,76.0,53.0,39.0,12.0,11.0,3.0,4.0,1.0,0.0,61.0,42.0,29.0,9.0,10.0,5.0,7.0,8.0,3710.0,2.0,8945.0
1870,2009-5053,Belgrade,Clay,28,A,20090504,27,104925,1.0,,Novak Djokovic,R,188.0,SRB,21.9,103997,,LL,Lukasz Kubot,R,190.0,POL,26.9,6-3 7-6(0),3,F,110.0,6.0,2.0,69.0,46.0,32.0,14.0,11.0,6.0,9.0,2.0,1.0,61.0,40.0,26.0,7.0,10.0,3.0,7.0,3.0,9670.0,179.0,423.0
2529,2009-6003,Kuala Lumpur,Hard,28,A,20090928,27,103786,1.0,,Nikolay Davydenko,R,178.0,RUS,28.3,104269,2.0,,Fernando Verdasco,L,188.0,ESP,25.8,6-4 7-5,3,F,95.0,2.0,2.0,67.0,44.0,30.0,15.0,11.0,6.0,7.0,8.0,6.0,81.0,46.0,33.0,14.0,11.0,6.0,9.0,8.0,3535.0,9.0,3430.0
2621,2009-741,Eastbourne,Grass,32,A,20090614,31,104098,2.0,,Dmitry Tursunov,R,185.0,RUS,26.5,104433,,Q,Frank Dancevic,R,185.0,CAN,24.7,6-3 7-6(5),3,F,83.0,12.0,2.0,61.0,37.0,32.0,17.0,11.0,0.0,0.0,10.0,2.0,63.0,45.0,35.0,9.0,10.0,2.0,3.0,27.0,1690.0,126.0,621.0
1399,2010-6120,Nice,Clay,28,A,20100516,27,104755,,,Richard Gasquet,R,185.0,FRA,23.9,104269,2.0,,Fernando Verdasco,L,188.0,ESP,26.5,6-3 5-7 7-6(5),3,F,157.0,5.0,5.0,120.0,88.0,52.0,19.0,17.0,4.0,9.0,3.0,3.0,98.0,75.0,48.0,12.0,16.0,6.0,11.0,68.0,715.0,9.0,3645.0
2840,2010-375,Montpellier,Hard,28,A,20101025,27,104792,3.0,,Gael Monfils,R,193.0,FRA,24.1,103344,4.0,,Ivan Ljubicic,R,193.0,CRO,31.6,6-2 5-7 6-1,3,F,112.0,11.0,6.0,95.0,67.0,49.0,12.0,14.0,5.0,7.0,6.0,3.0,74.0,41.0,29.0,14.0,13.0,1.0,6.0,15.0,2325.0,17.0,2100.0
2349,2011-6242,Winston-Salem,Hard,48,A,20110821,47,104545,4.0,,John Isner,R,206.0,USA,26.3,103898,,Q,Julien Benneteau,R,185.0,FRA,29.6,4-6 6-3 6-4,3,F,121.0,19.0,5.0,85.0,61.0,51.0,10.0,15.0,2.0,3.0,6.0,1.0,78.0,47.0,36.0,20.0,14.0,4.0,6.0,28.0,1340.0,113.0,478.0
565,2012-533,Sao Paulo,Clay,28,A,20120213,27,104597,1.0,,Nicolas Almagro,R,183.0,ESP,26.4,103835,,,Filippo Volandri,R,183.0,ITA,30.4,6-3 4-6 6-4,3,F,122.0,18.0,2.0,73.0,42.0,37.0,16.0,14.0,1.0,3.0,0.0,2.0,107.0,77.0,45.0,16.0,15.0,7.0,11.0,11.0,2220.0,69.0,693.0
2193,2012-96,London Olympics,Grass,64,A,20120725,63,104918,3.0,,Andy Murray,R,190.0,GBR,25.1,103819,1.0,,Roger Federer,R,185.0,SUI,30.9,6-2 6-1 6-4,5,F,116.0,5.0,1.0,87.0,44.0,35.0,27.0,13.0,9.0,9.0,9.0,1.0,78.0,51.0,33.0,10.0,12.0,5.0,10.0,4.0,7460.0,1.0,11075.0
646,2014-6932,Rio de Janeiro,Clay,32,A,20140217,31,104745,1.0,,Rafael Nadal,L,185.0,ESP,27.7,105238,,,Alexandr Dolgopolov,R,180.0,UKR,25.2,6-3 7-6(3),3,F,101.0,3.0,0.0,68.0,43.0,34.0,14.0,11.0,3.0,4.0,10.0,1.0,67.0,30.0,22.0,17.0,10.0,1.0,3.0,1.0,14085.0,54.0,860.0
2575,2014-6967,Shenzhen,Hard,28,A,20140922,27,104918,2.0,,Andy Murray,R,190.0,GBR,27.3,103990,4.0,,Tommy Robredo,R,180.0,ESP,32.3,5-7 7-6(9) 6-1,3,F,150.0,10.0,5.0,93.0,55.0,40.0,20.0,15.0,4.0,7.0,4.0,7.0,106.0,64.0,44.0,17.0,16.0,3.0,8.0,11.0,3135.0,22.0,1645.0
319,2015-7161,Quito,Clay,28,A,20150202,27,103607,8.0,,Victor Estrella,R,173.0,DOM,34.5,103852,1.0,,Feliciano Lopez,L,188.0,ESP,33.3,6-2 6-7(5) 7-6(5),3,F,137.0,3.0,2.0,109.0,79.0,60.0,18.0,16.0,5.0,6.0,19.0,4.0,112.0,77.0,54.0,19.0,16.0,4.0,7.0,76.0,674.0,14.0,2220.0
1167,2015-7163,Istanbul,Clay,28,A,20150427,27,103819,1.0,,Roger Federer,R,185.0,SUI,33.7,104655,3.0,,Pablo Cuevas,R,180.0,URU,29.3,6-3 7-6(11),3,F,96.0,7.0,2.0,72.0,51.0,38.0,13.0,11.0,0.0,1.0,3.0,1.0,78.0,52.0,30.0,15.0,10.0,7.0,9.0,2.0,8385.0,23.0,1442.0
1331,2015-322,Geneva,Clay,28,A,20150517,27,105064,,,Thomaz Bellucci,L,188.0,BRA,27.3,105311,6.0,,Joao Sousa,R,185.0,POR,26.1,7-6(4) 6-4,3,F,94.0,4.0,5.0,69.0,42.0,27.0,16.0,11.0,3.0,6.0,3.0,0.0,73.0,55.0,31.0,9.0,11.0,2.0,6.0,60.0,823.0,50.0,903.0
346,2016-7434,Sofia,Hard,32,A,20160201,300,105138,1.0,,Roberto Bautista Agut,R,183.0,ESP,27.8,104678,2.0,,Viktor Troicki,R,193.0,SRB,29.9,6-3 6-4,3,F,82.0,1.0,0.0,53.0,32.0,24.0,13.0,10.0,0.0,1.0,4.0,1.0,65.0,38.0,20.0,16.0,9.0,1.0,4.0,18.0,1775.0,25.0,1475.0
976,2016-0360,Marrakech,Clay,32,A,20160404,300,105643,4.0,,Federico Delbonis,L,190.0,ARG,25.4,106432,3.0,,Borna Coric,R,188.0,CRO,19.3,6-2 6-4,3,F,89.0,4.0,2.0,63.0,41.0,33.0,10.0,9.0,3.0,3.0,3.0,1.0,60.0,35.0,22.0,13.0,9.0,4.0,7.0,47.0,920.0,48.0,910.0
2161,2016-7480,Los Cabos,Hard,32,A,20160808,300,103333,3.0,,Ivo Karlovic,R,208.0,CRO,37.4,103852,1.0,,Feliciano Lopez,L,188.0,ESP,34.8,7-6(5) 6-2,3,F,82.0,21.0,4.0,70.0,43.0,33.0,16.0,10.0,1.0,1.0,5.0,5.0,59.0,37.0,30.0,9.0,10.0,2.0,4.0,24.0,1490.0,18.0,1835.0
2224,2016-O16,Rio Olympics,Hard,64,A,20160808,162,104918,2.0,,Andy Murray,R,190.0,GBR,29.2,105223,,,Juan Martin del Potro,R,198.0,ARG,27.8,7-5 4-6 6-2 7-5 ,5,F,242.0,10.0,6.0,126.0,64.0,46.0,30.0,21.0,6.0,12.0,3.0,2.0,143.0,103.0,64.0,14.0,21.0,14.0,23.0,2.0,10065.0,141.0,410.0
2587,2016-7581,Chengdu,Hard,32,A,20160926,300,111575,,,Karen Khachanov,R,198.0,RUS,20.3,105077,5.0,,Albert Ramos,L,188.0,ESP,28.6,6-7(4) 7-6(3) 6-3,3,F,159.0,14.0,7.0,105.0,53.0,39.0,31.0,17.0,0.0,2.0,6.0,3.0,115.0,64.0,44.0,30.0,16.0,6.0,9.0,101.0,599.0,31.0,1340.0
1179,2017-7648,Budapest,Clay,32,A,20170424,300,106298,1.0,,Lucas Pouille,R,185.0,FRA,23.1,105379,,Q,Aljaz Bedene,R,181.0,SLO,27.7,6-3 6-1,3,F,64.0,5.0,2.0,48.0,26.0,22.0,10.0,8.0,0.0,1.0,3.0,1.0,50.0,30.0,17.0,5.0,8.0,6.0,11.0,14.0,2516.0,68.0,718.0
1694,2017-7650,Antalya,Grass,32,A,20170626,300,105216,,,Yuichi Sugita,R,173.0,JPN,28.7,105173,,,Adrian Mannarino,L,183.0,FRA,28.9,6-1 7-6(4),3,F,89.0,5.0,3.0,66.0,44.0,33.0,8.0,10.0,3.0,5.0,2.0,3.0,61.0,36.0,24.0,9.0,9.0,4.0,8.0,66.0,725.0,62.0,766.0
2887,2017-7696,NextGen Finals,Hard,8,F,20171106,299,111202,6.0,,Hyeon Chung,R,188.0,KOR,21.4,126094,1.0,,Andrey Rublev,R,188.0,RUS,20.0,3-4(5) 4-3(2) 4-2 4-2,3,F,117.0,1.0,3.0,80.0,56.0,43.0,9.0,12.0,7.0,9.0,0.0,4.0,83.0,40.0,24.0,23.0,12.0,6.0,10.0,55.0,889.0,35.0,1284.0
84,2018-0891,Pune,Hard,32,A,20180101,300,104468,,,Gilles Simon,R,183.0,FRA,33.0,104731,2.0,,Kevin Anderson,R,203.0,RSA,31.6,7-6(4) 6-2,3,F,96.0,1.0,1.0,65.0,53.0,39.0,9.0,10.0,4.0,5.0,15.0,2.0,67.0,45.0,28.0,11.0,10.0,5.0,8.0,89.0,610.0,14.0,2480.0
512,2018-0424,New York,Hard,32,A,20180212,300,104731,1.0,,Kevin Anderson,R,203.0,RSA,31.7,105023,2.0,,Sam Querrey,R,198.0,USA,30.3,4-6 6-3 7-6(1),3,F,133.0,16.0,1.0,106.0,75.0,51.0,18.0,16.0,5.0,8.0,9.0,1.0,95.0,63.0,46.0,12.0,15.0,4.0,7.0,11.0,2620.0,12.0,2490.0
266,2019-9158,Cordoba,Clay,32,A,20190204,300,106228,,WC,Juan Ignacio Londero,R,180.0,ARG,25.4,105550,8.0,,Guido Pella,L,185.0,ARG,28.7,3-6 7-5 6-1,3,F,123.0,9.0,3.0,79.0,45.0,39.0,13.0,14.0,3.0,6.0,4.0,2.0,96.0,59.0,42.0,12.0,14.0,7.0,12.0,112.0,498.0,59.0,790.0
2261,2019-9164,Zhuhai,Hard,32,A,20190923,300,200282,7.0,,Alex De Minaur,R,183.0,AUS,20.5,105173,,,Adrian Mannarino,L,183.0,FRA,31.2,7-6(4) 6-4,3,F,125.0,3.0,1.0,65.0,42.0,33.0,17.0,11.0,0.0,0.0,2.0,3.0,89.0,68.0,44.0,10.0,11.0,12.0,13.0,31.0,1360.0,61.0,971.0
0,2020-8888,Atp Cup,Hard,24,A,20200106,300,104925,,,Novak Djokovic,R,188.0,SRB,32.6,104745,,,Rafael Nadal,L,185.0,ESP,33.5,6-2 7-6(4),3,F,115.0,12.0,2.0,64.0,49.0,41.0,9.0,10.0,5.0,5.0,5.0,3.0,70.0,51.0,39.0,6.0,10.0,6.0,8.0,2.0,9055.0,1.0,9985.0
518,2020-6932,ATP Rio de Janeiro,Clay,32,A,20200217,300,106426,3.0,,Cristian Garin,R,185.0,CHI,23.7,126149,,Q,Gianluca Mager,R,185.0,ITA,25.2,7-6(3) 7-5,3,F,94.0,8.0,0.0,82.0,62.0,39.0,13.0,12.0,4.0,6.0,6.0,4.0,77.0,50.0,39.0,8.0,12.0,7.0,10.0,25.0,1550.0,128.0,413.0
819,2020-560,Us Open,Hard,128,G,20200831,226,106233,2.0,,Dominic Thiem,R,185.0,AUT,26.9,100644,5.0,,Alexander Zverev,R,198.0,GER,23.3,2-6 4-6 6-4 6-3 7-6(6),5,F,242.0,8.0,8.0,165.0,103.0,70.0,30.0,26.0,10.0,18.0,15.0,15.0,157.0,101.0,71.0,23.0,24.0,6.0,13.0,3.0,7135.0,7.0,3630.0
1059,2020-9404,Cologne 1,Hard,32,A,20201012,300,100644,1.0,,Alexander Zverev,R,198.0,GER,23.4,200000,3.0,,Felix Auger Aliassime,R,193.0,CAN,20.1,6-3 6-3,3,F,79.0,1.0,5.0,47.0,25.0,20.0,15.0,9.0,2.0,3.0,1.0,3.0,58.0,34.0,20.0,12.0,9.0,6.0,10.0,7.0,4650.0,22.0,2021.0
1086,2020-9408,Sardinia,Clay,32,A,20201012,300,111513,,,Laslo Djere,R,188.0,SRB,25.3,106065,,WC,Marco Cecchinato,R,185.0,ITA,28.0,7-6(3) 7-5,3,F,139.0,3.0,3.0,93.0,62.0,38.0,18.0,12.0,8.0,11.0,1.0,3.0,96.0,67.0,44.0,10.0,12.0,7.0,11.0,74.0,812.0,103.0,671.0
1113,2020-0568,St Petersburg,Hard,32,A,20201012,300,126094,3.0,,Andrey Rublev,R,188.0,RUS,22.9,106432,7.0,,Borna Coric,R,188.0,CRO,23.9,7-6(5) 6-4,3,F,99.0,7.0,1.0,61.0,37.0,32.0,17.0,11.0,0.0,0.0,8.0,4.0,76.0,51.0,41.0,10.0,11.0,2.0,3.0,10.0,2974.0,27.0,1670.0
1144,2020-9406,Cologne 2,Hard,32,A,20201019,300,100644,1.0,,Alexander Zverev,R,198.0,GER,23.4,106043,2.0,,Diego Schwartzman,R,170.0,ARG,28.1,6-2 6-1,3,F,71.0,9.0,0.0,45.0,29.0,24.0,8.0,7.0,1.0,1.0,0.0,5.0,55.0,33.0,21.0,5.0,8.0,3.0,8.0,7.0,4855.0,9.0,3180.0
1171,2020-9410,Nur-Sultan,Hard,32,A,20201026,300,105357,4.0,,John Millman,R,183.0,AUS,31.3,105173,3.0,,Adrian Mannarino,L,183.0,FRA,32.3,7-5 6-1,3,F,108.0,3.0,2.0,70.0,42.0,28.0,19.0,10.0,6.0,6.0,0.0,1.0,62.0,35.0,26.0,9.0,9.0,3.0,6.0,45.0,1166.0,39.0,1296.0
62,2021-0096,Tokyo Olympics,Hard,64,A,20210724,299,100644,4.0,,Alexander Zverev,R,198.0,GER,24.2,111575,12.0,,Karen Khachanov,R,198.0,RUS,25.1,6-3 6-1,3,F,,,,,,,,,,,,,,,,,,,,5.0,7340.0,25.0,2235.0
