,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
468,1998-430,Antwerp,Hard,32,A,19980216,31,102257,5.0,,Greg Rusedski,L,193.0,GBR,24.4,101820,,,Marc Rosset,R,201.0,SUI,27.2,7-6(3) 3-6 6-1 6-4,5,F,146.0,23.0,2.0,111.0,58.0,51.0,33.0,19.0,7.0,8.0,8.0,12.0,134.0,70.0,56.0,30.0,19.0,13.0,16.0,9.0,2493.0,26.0,1370.0
515,1998-402,Memphis,Hard,48,A,19980216,47,102882,4.0,,Mark Philippoussis,R,196.0,AUS,21.2,102021,2.0,,Michael Chang,R,175.0,USA,25.9,6-3 6-2,3,F,79.0,16.0,4.0,56.0,33.0,29.0,11.0,9.0,4.0,4.0,5.0,0.0,60.0,39.0,22.0,11.0,8.0,4.0,7.0,16.0,1809.0,5.0,2785.0
546,1998-408,London,Carpet,32,A,19980223,31,102338,3.0,,Yevgeny Kafelnikov,R,190.0,RUS,24.0,101611,,,Cedric Pioline,R,188.0,FRA,28.6,7-5 6-4,3,F,74.0,1.0,1.0,55.0,35.0,28.0,15.0,11.0,4.0,5.0,6.0,2.0,69.0,45.0,32.0,9.0,11.0,5.0,8.0,7.0,2765.0,18.0,1691.0
577,1998-401,Philadelphia,Hard,32,A,19980223,31,101948,1.0,,Pete Sampras,R,185.0,USA,26.5,102358,3.0,,Thomas Enqvist,R,190.0,SWE,23.9,7-5 7-6(3),3,F,84.0,8.0,2.0,70.0,36.0,30.0,20.0,12.0,1.0,3.0,14.0,2.0,64.0,32.0,23.0,18.0,12.0,2.0,5.0,1.0,3700.0,29.0,1293.0
608,1998-407,Rotterdam,Carpet,32,A,19980302,31,101733,,,Jan Siemerink,L,183.0,NED,27.8,102563,,,Thomas Johansson,R,180.0,SWE,22.9,7-6(2) 6-2,3,F,87.0,12.0,1.0,70.0,43.0,31.0,19.0,10.0,8.0,9.0,8.0,0.0,60.0,32.0,23.0,13.0,10.0,3.0,6.0,48.0,896.0,34.0,1078.0
639,1998-433,Scottsdale,Hard,32,A,19980302,31,101736,,WC,Andre Agassi,R,180.0,USA,27.8,101727,,,Jason Stoltenberg,R,185.0,AUS,27.9,6-4 7-6(3),3,F,96.0,1.0,3.0,76.0,50.0,36.0,13.0,11.0,7.0,9.0,3.0,5.0,90.0,56.0,37.0,13.0,11.0,6.0,9.0,50.0,864.0,47.0,900.0
670,1998-481,Copenhagen,Carpet,32,A,19980309,31,101320,2.0,,Magnus Gustafsson,R,185.0,SWE,31.1,102184,,,David Prinosil,R,185.0,GER,24.9,3-6 6-1 6-1,3,F,84.0,5.0,7.0,63.0,35.0,32.0,13.0,11.0,2.0,3.0,8.0,8.0,85.0,45.0,32.0,15.0,12.0,7.0,12.0,37.0,1069.0,121.0,386.0
725,1998-404,Indian Wells Masters,Hard,56,M,19980309,55,102701,7.0,,Marcelo Rios,L,175.0,CHI,22.2,102257,6.0,,Greg Rusedski,L,193.0,GBR,24.5,6-3 6-7(15) 7-6(4) 6-4,5,F,166.0,7.0,0.0,136.0,103.0,85.0,26.0,22.0,3.0,3.0,21.0,12.0,154.0,75.0,66.0,38.0,21.0,3.0,5.0,7.0,2777.0,6.0,2812.0
820,1998-403,Miami Masters,Hard,96,M,19980316,95,102701,3.0,,Marcelo Rios,L,175.0,CHI,22.2,101736,29.0,,Andre Agassi,R,180.0,USA,27.8,7-5 6-3 6-4,5,F,117.0,12.0,2.0,91.0,59.0,46.0,19.0,16.0,0.0,1.0,5.0,4.0,98.0,49.0,40.0,19.0,15.0,8.0,12.0,3.0,3235.0,31.0,1216.0
851,1998-360,Casablanca,Clay,32,A,19980323,31,102247,4.0,,Andrea Gaudenzi,R,183.0,ITA,24.6,102231,,,Alex Calatrava,R,190.0,ESP,24.7,6-4 5-7 6-4,3,F,137.0,0.0,5.0,86.0,52.0,37.0,16.0,16.0,1.0,5.0,6.0,3.0,116.0,73.0,49.0,16.0,16.0,7.0,12.0,57.0,785.0,110.0,444.0
