player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id
103559,David,Sherwood,R,19800506.0,GBR,193.0,Q5239739
103560,Kj,Hippensteel,L,19800508.0,USA,190.0,Q6323398
103565,Stephane,Robert,R,19800517.0,FRA,185.0,Q552542
103566,Michael,Llodra,L,19800518.0,FRA,190.0,Q295488
103573,Rik,De Voest,R,19800605.0,RSA,180.0,Q519970
103580,Alexander,Peya,R,19800627.0,AUT,183.0,Q457476
103581,Flavio,Saretta,R,19800628.0,BRA,183.0,Q969314
103582,Michael,Berrer,L,19800701.0,GER,193.0,Q60324
103592,Jerome,Haehnel,R,19800714.0,FRA,185.0,Q2720338
103594,Oliver,Marach,R,19800716.0,AUT,185.0,Q441027
103598,Xavier,Malisse,R,19800719.0,BEL,185.0,Q312620
103600,Mohammad,Ghareeb,R,19800722.0,KUW,,Q6893099
103602,Fernando,Gonzalez,R,19800729.0,CHI,183.0,Q208517
103607,Victor,Estrella,R,19800802.0,DOM,173.0,Q548522
103626,Tomas,Tenconi,R,19800903.0,ITA,178.0,Q7818330
103632,Luis,Horna,R,19800914.0,PER,180.0,Q350266
103656,Albert,Montanes,R,19801126.0,ESP,175.0,Q299374
103657,Ivo,Klec,R,19801128.0,SVK,183.0,Q3487091
103663,Matias,Boeker,R,19801211.0,USA,,Q6787403
103672,Ricardo,Mello,L,19801221.0,BRA,175.0,Q45010
103675,Diego,Junqueira,L,19801228.0,ARG,178.0,Q717463
103676,Michael,Yani,R,19801231.0,USA,185.0,Q117456
103693,Thierry,Ascione,R,19810117.0,FRA,188.0,Q546733
103694,Olivier,Rochus,R,19810118.0,BEL,168.0,Q312511
103699,Fred,Hemmes,R,19810128.0,NED,183.0,Q719304
103700,Juan Pablo,Guzman,L,19810129.0,ARG,178.0,Q3106519
103701,Diego,Hartfield,R,19810131.0,ARG,185.0,Q1220458
103702,Stefano,Ianni,R,19810131.0,ITA,,Q3972538
103708,Jaroslav,Pospisil,R,19810209.0,CZE,175.0,Q3496224
103709,Kristian,Pless,R,19810209.0,DEN,188.0,Q715430
103714,Andreas,Vinciguerra,L,19810219.0,SWE,180.0,Q501064
103716,Uros,Vico,R,19810219.0,ITA,188.0,Q4006499
103720,Lleyton,Hewitt,R,19810224.0,AUS,180.0,Q180104
103722,Florent,Serra,R,19810228.0,FRA,180.0,Q315961
103726,Jean Christophe,Faurel,R,19810306.0,FRA,175.0,Q6169065
103730,Jonathan,Marray,R,19810310.0,GBR,183.0,Q455297
103735,Lovro,Zovko,R,19810318.0,CRO,190.0,Q508034
103737,Edgardo,Massa,R,19810322.0,ARG,180.0,Q2879046
103747,Dominik,Meffert,R,19810409.0,GER,198.0,Q84816
103751,Jonas,Froberg,U,19810411.0,SWE,,Q107352633
103752,Simon,Greul,R,19810413.0,GER,185.0,Q60498
103754,Mark,Hilton,L,19810420.0,GBR,170.0,Q6768052
103758,Taylor,Dent,R,19810424.0,USA,188.0,Q53407
103761,Tomas,Cakl,R,19810425.0,CZE,178.0,Q2740811
103763,Martin,Slanar,R,19810501.0,AUT,,Q6776609
103781,Jurgen,Melzer,L,19810522.0,AUT,183.0,Q223549
103786,Nikolay,Davydenko,R,19810602.0,RUS,178.0,Q191736
103789,Irakli,Labadze,L,19810609.0,GEO,188.0,Q2126952
103794,Benjamin,Becker,R,19810616.0,GER,178.0,Q77176
103799,Eric,Prodon,R,19810627.0,FRA,178.0,Q288327
103808,Potito,Starace,R,19810714.0,ITA,188.0,Q317964
103812,Victor,Hanescu,R,19810721.0,ROU,198.0,Q316378
103813,Jarkko,Nieminen,L,19810723.0,FIN,185.0,Q10270
103817,Yu Jr,Wang,L,19810801.0,CHN,,
103819,Roger,Federer,R,19810808.0,SUI,185.0,Q1426
103821,Danai,Udomchoke,R,19810811.0,THA,173.0,Q175210
103823,Denis,Gremelmayr,L,19810816.0,GER,183.0,Q60738
103830,Shao Xuan,Zeng,R,19810829.0,CHN,185.0,Q2639575
103835,Filippo,Volandri,R,19810905.0,ITA,183.0,Q344765
103837,Didac,Perez,R,19810907.0,ESP,178.0,Q5274061
103843,Marco,Chiudinelli,R,19810910.0,SUI,185.0,Q523802
103849,Francesco,Aldi,R,19810917.0,ITA,175.0,Q3749518
103850,Sebastian,Decoud,L,19810918.0,ARG,178.0,Q5402547
103852,Feliciano,Lopez,L,19810920.0,ESP,188.0,Q223695
103857,Igor,Kunitsyn,R,19810930.0,RUS,180.0,Q365191
103863,Mikhail,Elgin,R,19811014.0,RUS,183.0,Q520836
103868,Ivan,Navarro,R,19811019.0,ESP,183.0,Q507913
103888,Mardy,Fish,R,19811209.0,USA,188.0,Q53422
103893,Paolo,Lorenzi,R,19811215.0,ITA,183.0,Q708313
103894,Phillip,King,R,19811219.0,USA,175.0,Q7185722
103898,Julien,Benneteau,R,19811220.0,FRA,185.0,Q313402
103900,David,Nalbandian,R,19820101.0,ARG,180.0,Q181501
103902,Jan,Mertl,R,19820103.0,CZE,190.0,Q3806913
103908,Paul Henri,Mathieu,R,19820112.0,FRA,185.0,Q310349
103909,Guillermo,Coria,R,19820113.0,ARG,175.0,Q295478
103912,Mario,Radic,R,19820114.0,CRO,188.0,Q3849013
103913,Ian,Flanagan,U,19820115.0,GBR,,Q731353
103917,Nicolas,Mahut,R,19820121.0,FRA,191.0,Q317974
103926,Daniel,Munoz de la Nava,L,19820129.0,ESP,178.0,Q974176
103948,Maximilian,Abel,R,19820228.0,GER,,Q6795694
103967,Michael,Lammer,R,19820325.0,SUI,185.0,Q662627
103970,David,Ferrer,R,19820402.0,ESP,175.0,Q191476
103971,Karol,Beck,R,19820403.0,SVK,180.0,Q355308
103976,Juan Pablo,Brzezicki,R,19820412.0,ARG,178.0,Q3048155
103990,Tommy,Robredo,R,19820501.0,ESP,180.0,Q213199
103997,Lukasz,Kubot,R,19820516.0,POL,191.0,Q345626
103999,Thiago,Alves,R,19820522.0,BRA,178.0,Q1359735
104001,Brian,Wilson,R,19820523.0,USA,190.0,Q4965660
104003,Victor,Crivoi,R,19820525.0,ROU,185.0,Q2732894
104004,Filip,Prpic,R,19820526.0,SWE,173.0,Q5448508
104007,Andre,Ghem,R,19820529.0,BRA,193.0,Q4759919
104010,Dieter,Kindlmann,R,19820603.0,GER,183.0,Q67303
104014,Lee,Childs,R,19820611.0,GBR,,Q4753636
104019,Kristof,Vliegen,R,19820622.0,BEL,193.0,Q374874
104022,Mikhail,Youzhny,R,19820625.0,RUS,183.0,Q219970
104023,Nicolas,Renavand,R,19820625.0,FRA,,Q1986683
104025,Amer,Delic,R,19820630.0,BIH,196.0,Q462949
