tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1998-773,Bucharest,Clay,32,A,19980914,31,101532,1,,Francisco Clavet,L,183,ESP,29.8,103324,,Q,Arnaud Di Pasquale,R,185,FRA,19.5,6-4 2-6 7-5,3,F,115,5,0,80,55,35,14,15,1,5,2,3,87,64,43,12,15,3,7,31,1228,138,346
2000-773,Bucharest,Clay,32,A,20000911,31,102607,,,Juan Balcells,R,190,ESP,25.2,103082,,,Markus Hantschk,R,188,GER,22.8,6-4 3-6 7-6(1),3,F,125,9,1,90,67,49,16,16,3,6,5,2,91,54,40,20,15,3,5,112,361,93,447
2008-773,Bucharest,Clay,32,A,20080908,31,104468,2,,Gilles Simon,R,183,FRA,23.6,102845,6,,Carlos Moya,R,190,ESP,32,6-3 6-4,3,F,90,0,3,66,32,30,16,10,6,6,1,0,67,48,32,8,9,5,7,17,1390,61,665
2005-773,Bucharest,Clay,32,A,20050912,31,103722,,,Florent Serra,R,180,FRA,24.5,104214,,,Igor Andreev,R,185,RUS,22.1,6-3 6-4,3,F,96,0,0,56,31,21,15,9,2,4,0,1,80,54,30,11,10,7,12,68,515,52,739
2017-7648,Budapest,Clay,32,A,20170424,300,106298,1,,Lucas Pouille,R,185,FRA,23.1,105379,,Q,Aljaz Bedene,R,181,SLO,27.7,6-3 6-1,3,F,64,5,2,48,26,22,10,8,0,1,3,1,50,30,17,5,8,6,11,14,2516,68,718
2019-7648,Budapest,Clay,32,A,20190422,300,126610,,,Matteo Berrettini,R,196,ITA,23,105936,,Q,Filip Krajinovic,R,185,SRB,27.1,4-6 6-3 6-1,3,F,101,6,1,62,31,26,24,13,1,2,1,2,79,58,38,9,13,6,10,55,927,105,576
2018-7648,Budapest,Clay,32,A,20180423,300,106065,,LL,Marco Cecchinato,R,185,ITA,25.5,105357,,,John Millman,R,183,AUS,28.8,7-5 6-4,3,F,107,2,0,86,65,40,11,11,5,7,2,3,70,43,28,13,11,4,8,92,664,94,645
2023-0506,Buenos Aires,Clay,32,A,20230213,300,207989,1,,Carlos Alcaraz,R,183,ESP,19.7,111815,2,,Cameron Norrie,L,188,GBR,27.4,6-3 7-5,3,F,93,3,2,59,38,29,11,10,1,2,2,2,63,35,22,15,11,2,6,2,6730,12,2715
2002-506,Buenos Aires,Clay,32,A,20020218,31,103454,,,Nicolas Massu,R,183,CHI,22.3,102860,,,Agustin Calleri,R,183,ARG,25.4,2-6 7-6(5) 6-2,3,F,158,6,4,97,45,27,28,14,11,16,10,1,88,57,36,16,14,6,11,90,465,74,532
2020-0506,Buenos Aires,Clay,32,A,20200210,300,134770,8,,Casper Ruud,R,183,NOR,21.1,105155,,LL,Pedro Sousa,R,180,POR,31.7,6-1 6-4,3,F,70,3,0,48,32,27,10,9,0,0,1,3,49,28,19,9,8,1,4,45,1079,145,373
2009-506,Buenos Aires,Clay,32,A,20090216,31,103990,3,,Tommy Robredo,R,180,ESP,26.7,104338,,,Juan Monaco,R,185,ARG,24.8,7-5 2-6 7-6(5),3,F,165,1,3,101,76,43,13,16,3,8,0,2,121,91,56,12,16,8,12,17,2670,67,1135
2015-506,Buenos Aires,Clay,28,A,20150223,27,104745,1,,Rafael Nadal,L,185,ESP,28.7,104338,,,Juan Monaco,R,185,ARG,30.9,6-4 6-1,3,F,87,1,0,49,38,30,4,8,0,0,0,0,60,45,26,6,9,5,9,4,5425,60,815
2007-506,Buenos Aires,Clay,32,A,20070219,514,104338,,,Juan Monaco,R,185,ARG,22.8,103035,,,Alessio Di Mauro,L,185,ITA,29.5,6-1 6-2,3,F,64,1,1,46,35,27,7,8,3,3,1,1,53,37,17,8,7,1,5,66,564,98,428
2014-506,Buenos Aires,Clay,32,A,20140210,31,103970,1,,David Ferrer,R,175,ESP,31.8,104926,2,,Fabio Fognini,R,178,ITA,26.7,6-4 6-3,3,F,74,0,2,54,39,26,11,10,0,1,2,3,52,34,24,5,9,2,5,5,5280,14,2260
2021-0506,Buenos Aires,Clay,32,A,20210301,300,106043,1,,Diego Schwartzman,R,170,ARG,28.5,202103,,Q,Francisco Cerundolo,R,185,ARG,22.5,6-1 6-2,3,F,80,1,2,49,26,17,13,7,3,4,0,3,60,42,21,5,8,7,13,9,3480,137,532
2022-0506,Buenos Aires,Clay,32,A,20220207,300,134770,1,,Casper Ruud,R,183,NOR,23.1,106043,2,,Diego Schwartzman,R,170,ARG,29.4,5-7 6-2 6-3,3,F,154,10,1,77,54,39,17,15,2,4,0,2,96,70,45,11,14,13,17,8,4065,15,2550
2017-0506,Buenos Aires,Clay,32,A,20170213,300,105238,,,Alexandr Dolgopolov,R,180,UKR,28.2,105453,1,,Kei Nishikori,R,178,JPN,27.1,7-6(4) 6-4,3,F,100,4,0,75,44,37,17,11,3,3,2,1,78,49,34,17,11,7,8,66,715,5,4625
2013-506,Buenos Aires,Clay,32,A,20130218,31,103970,1,,David Ferrer,R,175,ESP,30.8,104527,3,,Stan Wawrinka,R,183,SUI,27.8,6-4 3-6 6-1,3,F,105,1,2,76,49,34,13,13,3,7,4,3,74,42,27,11,13,5,11,4,6865,17,1990
2012-506,Buenos Aires,Clay,32,A,20120220,31,103970,1,,David Ferrer,R,175,ESP,29.8,104597,2,,Nicolas Almagro,R,183,ESP,26.4,4-6 6-3 6-2,3,F,114,5,3,85,57,45,15,14,1,2,7,1,84,50,36,14,13,8,11,5,4595,11,2220
2001-506,Buenos Aires,Clay,32,A,20010219,31,102856,1,,Gustavo Kuerten,R,190,BRA,24.4,104076,,Q,Jose Acasuso,R,190,ARG,18.3,6-1 6-3,3,F,58,5,1,42,25,22,11,8,2,2,4,2,45,19,15,7,8,5,9,2,4225,172,222
2019-0506,Buenos Aires,Clay,32,A,20190211,300,106065,3,,Marco Cecchinato,R,185,ITA,26.3,106043,4,,Diego Schwartzman,R,170,ARG,26.4,6-1 6-2,3,F,65,4,0,40,26,22,10,8,0,0,0,5,57,41,23,5,7,5,9,18,1870,19,1835
2010-506,Buenos Aires,Clay,32,A,20100215,31,103507,2,,Juan Carlos Ferrero,R,183,ESP,30,103970,1,,David Ferrer,R,175,ESP,27.8,5-7 6-4 6-3,3,F,152,2,4,100,78,53,10,16,7,11,1,1,88,54,35,16,15,4,9,22,1760,19,1780
2011-506,Buenos Aires,Clay,32,A,20110214,31,104597,1,,Nicolas Almagro,R,183,ESP,25.4,103428,8,,Juan Ignacio Chela,R,190,ARG,31.4,6-3 3-6 6-4,3,F,125,1,1,86,54,39,13,14,7,11,2,2,93,61,36,18,14,7,12,13,2320,35,1165
2008-506,Buenos Aires,Clay,32,A,20080218,31,103900,1,,David Nalbandian,R,180,ARG,26.1,104076,,,Jose Acasuso,R,190,ARG,25.3,3-6 7-6(5) 6-4,3,F,163,2,2,98,59,40,24,15,4,7,6,1,104,51,36,29,16,2,5,11,1700,51,621
2016-0506,Buenos Aires,Clay,32,A,20160208,300,106233,5,,Dominic Thiem,R,185,AUT,22.4,104597,,,Nicolas Almagro,R,183,ESP,30.4,7-6(2) 3-6 7-6(4),3,F,148,9,5,113,84,64,12,17,8,11,8,0,112,67,53,20,16,2,3,19,1725,72,729
2006-506,Buenos Aires,Clay,32,A,20060213,31,102845,5,,Carlos Moya,R,190,ESP,29.4,103835,6,,Filippo Volandri,R,183,ITA,24.4,7-6(6) 6-4,3,F,90,3,0,65,45,37,10,11,2,3,0,0,72,58,37,8,11,3,5,34,870,33,871
